Patient_ID,UBE2T,BIRC5,NUF2,CDC6,CCNB1,TYMS,MYBL2,CEP55,MELK,NDC80,RRM2,UBE2C,CENPF,PTTG1,EXO1,ORC6,ANLN,CCNE1,CDC20,MKI67,KIF2C,ACTR3B,MYC,EGFR,KRT5,PHGDH,CDH3,MIA,KRT17,FOXC1,SFRP1,KRT14,ESR1,SLC39A6,BAG1,MAPT,PGR,CXXC5,MLPH,BCL2,MDM2,NAT1,FOXA1,BLVRA,MMP11,GPR160,FGFR4,GRB7,TMEM45B,ERBB2
CPT000814,0.553,0.097,0.553,-0.435,-0.451,-0.542,0.592,0.006,0.123,-0.542,0.062,0.592,0.553,-0.451,-0.089,-0.406,-0.434,3.657,0.147,0.105,0.147,-0.368,0.563,-0.44,-0.411,0.145,0.195,-0.405,-0.435,0.447,3.657,-0.435,0.457,-0.487,0.123,-0.435,-0.411,-0.451,0.124,-0.487,0.154,-0.416,-0.433,-0.434,-0.404,0.819,-0.451,-0.435,-0.411,-0.435
CPT001846,-0.151,0.222,0.278,0.222,-0.171,0.241,0.719,0.0,0.022,0.241,-0.161,0.719,-0.151,-0.4,-0.343,0.242,0.965,-0.316,0.302,0.0,0.302,1.364,0.304,1.276,-0.101,0.278,0.242,-0.152,0.222,0.99,0.249,0.222,-0.179,0.098,-0.192,0.222,0.355,-0.4,0.255,0.098,-0.101,-0.162,0.208,1.169,0.725,0.307,-0.4,0.222,-0.087,0.222
X01BR001,0.866,0.593,0.866,-0.084,-0.322,0.546,0.014,-0.097,-0.057,0.546,0.158,0.014,0.866,-0.322,1.127,0.061,0.397,-0.038,1.829,-0.097,0.097,0.351,1.236,1.415,0.017,-0.189,0.061,-0.023,-0.037,0.147,2.187,-0.037,-0.03,-0.412,-0.057,-0.037,-0.041,-0.322,0.13,-0.412,0.017,-0.309,-0.426,0.397,0.089,-0.015,-0.322,-0.084,0.01,-0.084
X01BR009,0.425,-0.147,1.025,-0.127,-0.14,0.354,0.628,-0.18,0.0,0.354,0.99,0.628,0.347,-0.085,0.926,0.61,0.488,0.41,0.983,0.507,0.709,0.344,2.908,0.488,-0.279,-0.139,0.511,-0.131,-0.517,-0.051,0.53,-0.517,-0.199,-0.259,0.0,-0.192,-0.163,-0.085,0.274,-0.259,-0.089,-0.25,0.799,0.488,0.73,0.37,-0.085,-0.127,-0.163,-0.127
X01BR010,0.274,-0.01,0.328,-0.185,-0.044,-0.073,0.196,-0.03,0.072,-0.073,0.208,0.196,0.274,-0.044,0.274,0.049,0.201,-0.028,0.118,-0.03,0.352,-0.01,0.181,0.201,0.0,-0.064,-0.008,-0.04,-0.312,-0.065,0.181,-0.312,-0.276,-0.157,0.072,-0.312,-0.012,-0.044,0.152,-0.214,0.0,0.181,-0.221,0.201,-0.243,-0.015,0.038,-0.185,0.108,-0.185
X01BR017,-0.119,0.101,-0.119,0.282,-0.006,-0.026,0.044,-0.151,-0.155,-0.026,0.068,0.044,0.421,-0.006,0.421,-0.184,0.104,0.309,-0.131,-0.151,-0.131,0.115,0.612,0.104,-0.109,0.001,0.045,0.109,-0.194,-0.034,-0.192,-0.194,-0.363,-0.026,-0.155,-0.194,0.033,-0.006,0.029,-0.026,-0.109,-0.149,-0.159,0.104,-0.119,0.513,-0.006,3.657,0.06,3.657
X01BR018,1.222,0.892,1.222,-0.084,-0.478,-0.053,-0.548,-0.037,0.118,-0.053,-0.011,-0.548,1.222,-0.057,0.323,-0.073,0.0,0.864,0.516,-0.037,0.932,-0.434,1.824,0.397,-0.5,0.597,-0.057,0.753,-0.084,-0.542,-0.101,-0.084,-0.177,-0.572,0.118,0.592,-0.525,-0.057,0.342,0.809,0.038,-0.514,0.024,0.0,0.641,0.862,0.006,-0.084,-0.525,-0.084
X01BR020,0.176,0.803,0.546,-0.38,-0.847,0.27,0.612,-0.022,0.11,0.27,0.57,0.612,0.034,0.15,-0.5,0.0,-0.505,3.657,-0.152,-0.022,-0.152,0.553,1.222,-0.434,-0.386,-0.222,0.055,-0.454,-0.747,0.628,1.818,-0.747,0.367,0.789,-0.029,-0.426,0.089,-0.379,-0.449,0.227,-0.114,-0.47,-0.509,0.052,-0.396,0.811,0.15,-0.38,0.056,-0.38
X01BR026,0.27,-0.304,0.27,-0.304,-0.326,-0.056,0.031,-0.192,0.007,-0.056,-0.153,0.031,0.27,-0.322,0.41,0.139,-0.125,0.116,0.526,-0.192,0.069,0.163,1.418,-0.125,-0.155,0.27,0.355,1.437,-0.304,0.227,-0.068,-0.304,-0.343,-0.056,0.007,-0.304,0.018,-0.322,-0.175,-0.056,-0.155,-0.464,-0.352,-0.125,0.091,0.169,-0.322,-0.304,0.018,-0.304
X01BR027,0.471,-0.023,0.471,-0.328,-0.21,-0.175,0.02,-0.29,0.198,-0.175,0.184,0.02,-0.011,-0.21,0.0,-0.065,0.014,0.035,0.848,-0.235,0.848,-0.273,3.657,0.014,-0.238,0.364,0.583,0.355,-0.359,0.031,-0.336,-0.359,-0.039,-0.181,0.021,-0.254,-0.06,-0.21,-0.192,-0.181,-0.238,-0.336,0.004,0.014,0.025,0.201,-0.21,-0.328,-0.06,-0.328
