Patient_ID,UBE2T,BIRC5,NUF2,CDC6,CCNB1,TYMS,MYBL2,CEP55,MELK,NDC80,RRM2,UBE2C,CENPF,PTTG1,EXO1,ORC6,ANLN,CCNE1,CDC20,MKI67,KIF2C,ACTR3B,MYC,EGFR,KRT5,PHGDH,CDH3,MIA,KRT17,FOXC1,SFRP1,KRT14,ESR1,SLC39A6,BAG1,MAPT,PGR,CXXC5,MLPH,BCL2,MDM2,NAT1,FOXA1,BLVRA,MMP11,GPR160,FGFR4,GRB7,TMEM45B,ERBB2
X01BR015,0.415,-0.33,0.415,-0.421,0.0,-0.243,-0.202,0.014,-0.254,-0.243,-0.386,-0.202,0.415,0.0,0.362,0.022,0.12,0.205,0.542,0.014,0.542,-0.272,1.278,0.12,0.104,0.415,0.022,0.105,-0.33,0.521,-0.782,-0.33,-0.387,-0.243,-0.254,-0.33,-0.341,0.0,-0.379,-0.243,0.547,-0.782,0.062,0.12,-0.31,0.071,0.0,-0.421,-0.341,-0.421
X01BR023,0.038,1.125,-0.032,0.569,0.007,-0.019,2.176,-0.01,-0.041,-0.019,-0.014,2.176,0.038,0.007,-0.084,-0.004,-0.045,-0.025,-0.634,-0.01,-0.634,0.018,2.398,-0.045,0.004,0.008,-0.643,-0.025,0.481,0.002,2.008,0.481,-0.664,-0.679,-0.041,0.481,-0.656,0.007,-0.008,-0.703,0.004,-0.659,0.004,-0.045,-0.321,0.031,0.007,0.569,-0.008,0.569
X01BR025,0.176,0.31,0.176,0.129,0.011,-0.161,0.289,-0.107,-0.138,-0.161,-0.049,0.289,0.176,0.011,0.176,0.189,0.216,-0.01,-0.079,-0.072,-0.079,0.274,0.163,0.216,0.046,-0.079,-0.206,-0.01,0.129,0.0,0.782,0.129,0.0,-0.161,-0.138,0.129,0.086,0.011,-0.067,-0.161,0.046,0.126,0.001,0.216,0.083,0.127,0.011,0.129,0.086,0.129
X01BR030,0.135,0.351,0.101,0.296,0.072,-0.057,0.055,-0.151,-0.166,-0.057,-0.104,0.055,0.135,0.072,0.027,-0.383,-0.021,-0.008,0.017,-0.093,0.017,-0.049,0.672,-0.077,-0.224,-0.073,-0.383,-0.008,0.296,-0.043,0.672,0.296,0.028,-0.057,-0.166,0.296,-0.236,0.072,-0.125,-0.057,0.173,-0.316,0.018,-0.021,-0.087,0.215,0.072,0.296,-0.044,0.296
X01BR032,3.657,-0.099,0.809,-0.134,0.051,-0.04,-0.04,-0.006,-0.787,-0.04,-0.032,-0.04,0.786,-0.061,0.628,-0.176,0.105,-0.237,0.819,0.083,0.819,0.085,0.073,0.105,-0.796,0.74,-0.148,-0.146,-0.134,-0.055,-0.032,-0.134,0.053,-0.04,-0.787,-0.134,-0.783,0.051,0.108,-0.04,0.101,-0.032,-0.057,0.105,0.027,0.082,-0.061,-0.134,0.097,-0.134
X01BR033,0.78,0.315,0.455,0.019,-0.04,-0.458,0.418,-0.012,0.0,-0.458,0.015,0.418,0.78,0.02,0.338,-0.463,0.397,-0.012,0.832,-0.012,0.832,0.105,0.439,0.397,0.059,-0.032,-0.361,-0.012,0.019,-0.426,0.022,0.019,-0.003,-0.458,0.0,0.019,-0.366,0.02,-0.393,-0.458,0.161,-0.405,0.01,0.397,0.065,0.461,0.02,0.019,-0.366,0.019
X03BR002,0.301,0.12,0.176,0.12,0.0,-0.092,0.17,-0.144,0.018,-0.092,-0.001,0.17,0.301,0.01,0.301,-0.179,0.132,-0.021,-0.124,-0.144,-0.124,0.21,0.211,0.132,0.025,-0.085,-0.155,-0.068,0.12,-0.01,0.211,0.12,-0.01,-0.092,0.018,0.12,-0.128,0.01,0.02,-0.092,0.025,-0.121,-0.116,0.132,0.192,0.043,0.01,0.12,-0.128,0.12
X03BR004,0.342,0.42,0.342,0.42,-0.056,-0.107,0.315,0.028,-0.1,-0.107,0.0,0.315,0.342,-0.056,0.342,1.156,0.408,-0.163,0.056,0.028,0.056,-0.179,1.141,0.408,0.071,-0.131,-0.379,-0.044,0.42,-0.043,1.366,0.42,0.034,-0.107,-0.1,0.42,-0.029,-0.056,-0.037,-0.107,0.071,-0.393,0.139,0.408,-0.003,0.19,-0.056,0.42,-0.029,0.42
X03BR005,0.189,0.0,0.189,0.0,-0.017,-0.046,0.034,-0.025,0.013,-0.046,0.004,0.034,0.189,-0.017,0.189,-0.101,-0.006,0.01,0.03,-0.025,0.03,0.037,0.061,-0.006,0.012,0.03,-0.101,-0.014,0.0,-0.047,0.061,0.0,-0.014,-0.046,0.013,0.0,0.019,-0.017,-0.016,-0.046,0.012,0.061,0.033,-0.006,-0.054,0.026,-0.017,0.0,0.019,0.0
X03BR010,0.753,-0.025,0.753,-0.025,0.013,-0.051,0.053,-0.006,0.011,-0.051,-0.008,0.053,0.753,0.013,0.574,-0.722,0.061,-0.065,-0.677,-0.622,-0.677,0.145,0.035,0.061,0.005,0.038,-0.774,-0.056,-0.025,-0.012,0.035,-0.025,0.0,-0.051,0.011,-0.025,1.025,0.013,0.027,-0.051,0.005,0.035,0.039,0.061,-0.734,0.004,0.013,-0.025,-0.702,-0.025
X03BR013,0.296,-0.471,0.288,0.761,-0.008,-0.036,0.065,-0.033,-0.034,-0.036,-0.015,0.065,0.296,-0.008,0.296,-0.542,0.049,0.078,-0.442,0.11,-0.442,0.022,3.657,-0.097,0.029,-0.382,-0.542,0.053,0.154,0.003,3.657,0.154,0.003,-0.036,-0.034,0.479,-0.553,-0.008,-0.007,-0.004,0.029,-0.497,0.007,0.049,0.031,-0.007,-0.008,0.761,-0.553,0.761
